date,sales
2018-01-01,23
2018-01-02,24
2018-01-03,29
2018-01-04,26
2018-01-05,38
2018-01-06,34
2018-01-07,29
2018-01-08,25
2018-01-09,32
2018-01-10,32
2018-01-11,31
2018-01-12,34
2018-01-13,30
2018-01-14,31
2018-01-15,33
2018-01-16,41
2018-01-17,27
2018-01-18,30
2018-01-19,29
2018-01-20,28
2018-01-21,29
2018-01-22,27
2018-01-23,25
2018-01-24,30
2018-01-25,30
2018-01-26,23
2018-01-27,26
2018-01-28,30
2018-01-29,37
2018-01-30,26
2018-01-31,30
2018-02-01,29
2018-02-02,30
2018-02-03,31
2018-02-04,31
2018-02-05,29
2018-02-06,35
2018-02-07,30
2018-02-08,25
2018-02-09,23
2018-02-10,29
2018-02-11,22
2018-02-12,23
2018-02-13,34
2018-02-14,26
2018-02-15,27
2018-02-16,27
2018-02-17,26
2018-02-18,36
2018-02-19,33
2018-02-20,36
2018-02-21,33
2018-02-22,29
2018-02-23,24
2018-02-24,40
2018-02-25,24
2018-02-26,33
2018-02-27,36
2018-02-28,33
2018-03-01,23
2018-03-02,27
2018-03-03,25
2018-03-04,32
2018-03-05,25
2018-03-06,30
2018-03-07,33
2018-03-08,31
2018-03-09,47
2018-03-10,32
2018-03-11,38
2018-03-12,38
2018-03-13,32
2018-03-14,24
2018-03-15,28
2018-03-16,28
2018-03-17,33
2018-03-18,26
2018-03-19,20
2018-03-20,26
2018-03-21,29
2018-03-22,36
2018-03-23,28
2018-03-24,26
2018-03-25,29
2018-03-26,42
2018-03-27,28
2018-03-28,28
2018-03-29,33
2018-03-30,27
2018-03-31,33
2018-04-01,28
2018-04-02,33
2018-04-03,27
2018-04-04,27
2018-04-05,26
2018-04-06,33
2018-04-07,31
2018-04-08,39
2018-04-09,34
2018-04-10,35
2018-04-11,31
2018-04-12,33
2018-04-13,29
2018-04-14,27
2018-04-15,37
2018-04-16,36
2018-04-17,36
2018-04-18,31
2018-04-19,20
2018-04-20,35
2018-04-21,31
2018-04-22,24
2018-04-23,25
2018-04-24,26
2018-04-25,25
2018-04-26,24
2018-04-27,35
2018-04-28,32
2018-04-29,26
2018-04-30,30
2018-05-01,40
2018-05-02,30
2018-05-03,33
2018-05-04,31
2018-05-05,28
2018-05-06,34
2018-05-07,35
2018-05-08,23
2018-05-09,25
2018-05-10,22
2018-05-11,34
2018-05-12,18
2018-05-13,34
2018-05-14,33
2018-05-15,20
2018-05-16,28
2018-05-17,32
2018-05-18,33
2018-05-19,36
2018-05-20,23
2018-05-21,30
2018-05-22,40
2018-05-23,24
2018-05-24,27
2018-05-25,32
2018-05-26,30
2018-05-27,34
2018-05-28,25
2018-05-29,28
2018-05-30,33
2018-05-31,28
2018-06-01,30
2018-06-02,32
2018-06-03,31
2018-06-04,31
2018-06-05,25
2018-06-06,30
2018-06-07,28
2018-06-08,28
2018-06-09,30
2018-06-10,27
2018-06-11,30
2018-06-12,25
2018-06-13,29
2018-06-14,30
2018-06-15,33
2018-06-16,24
2018-06-17,30
2018-06-18,27
2018-06-19,24
2018-06-20,34
2018-06-21,38
2018-06-22,30
2018-06-23,27
2018-06-24,34
2018-06-25,28
2018-06-26,22
2018-06-27,29
2018-06-28,28
2018-06-29,26
2018-06-30,32
2018-07-01,33
2018-07-02,32
2018-07-03,26
2018-07-04,31
2018-07-05,19
2018-07-06,27
2018-07-07,32
2018-07-08,28
2018-07-09,44
2018-07-10,34
2018-07-11,41
2018-07-12,28
2018-07-13,28
2018-07-14,30
2018-07-15,40
2018-07-16,21
2018-07-17,34
2018-07-18,31
2018-07-19,30
2018-07-20,27
2018-07-21,31
2018-07-22,30
2018-07-23,27
2018-07-24,30
2018-07-25,24
2018-07-26,39
2018-07-27,27
2018-07-28,32
2018-07-29,47
2018-07-30,33
2018-07-31,28
2018-08-01,31
2018-08-02,29
2018-08-03,27
2018-08-04,22
2018-08-05,32
2018-08-06,34
2018-08-07,34
2018-08-08,33
2018-08-09,32
2018-08-10,27
2018-08-11,35
2018-08-12,23
2018-08-13,24
2018-08-14,35
2018-08-15,31
2018-08-16,31
2018-08-17,27
2018-08-18,24
2018-08-19,34
2018-08-20,28
2018-08-21,19
2018-08-22,19
2018-08-23,45
2018-08-24,24
2018-08-25,26
2018-08-26,31
2018-08-27,26
2018-08-28,21
2018-08-29,29
2018-08-30,34
2018-08-31,32
2018-09-01,31
2018-09-02,28
2018-09-03,31
2018-09-04,32
2018-09-05,35
2018-09-06,33
2018-09-07,27
2018-09-08,29
2018-09-09,26
2018-09-10,23
2018-09-11,30
2018-09-12,31
2018-09-13,37
2018-09-14,25
2018-09-15,36
2018-09-16,44
2018-09-17,35
2018-09-18,32
2018-09-19,31
2018-09-20,40
2018-09-21,30
2018-09-22,42
2018-09-23,29
2018-09-24,31
2018-09-25,37
2018-09-26,34
2018-09-27,21
2018-09-28,38
2018-09-29,29
2018-09-30,43
2018-10-01,30
2018-10-02,31
2018-10-03,34
2018-10-04,36
2018-10-05,35
2018-10-06,27
2018-10-07,33
2018-10-08,25
2018-10-09,31
2018-10-10,27
2018-10-11,37
2018-10-12,30
2018-10-13,40
2018-10-14,36
2018-10-15,29
2018-10-16,32
2018-10-17,27
2018-10-18,33
2018-10-19,31
2018-10-20,33
2018-10-21,23
2018-10-22,30
2018-10-23,34
2018-10-24,35
2018-10-25,35
2018-10-26,16
2018-10-27,36
2018-10-28,27
2018-10-29,30
2018-10-30,34
2018-10-31,33
2018-11-01,39
2018-11-02,29
2018-11-03,24
2018-11-04,29
2018-11-05,31
2018-11-06,22
2018-11-07,26
2018-11-08,37
2018-11-09,30
2018-11-10,28
2018-11-11,29
2018-11-12,25
2018-11-13,30
2018-11-14,32
2018-11-15,34
2018-11-16,42
2018-11-17,38
2018-11-18,36
2018-11-19,28
2018-11-20,33
2018-11-21,22
2018-11-22,19
2018-11-23,24
2018-11-24,40
2018-11-25,30
2018-11-26,33
2018-11-27,26
2018-11-28,34
2018-11-29,24
2018-11-30,34
2018-12-01,28
2018-12-02,22
2018-12-03,30
2018-12-04,30
2018-12-05,31
2018-12-06,34
2018-12-07,28
2018-12-08,25
2018-12-09,36
2018-12-10,38
2018-12-11,22
2018-12-12,23
2018-12-13,39
2018-12-14,35
2018-12-15,30
2018-12-16,38
2018-12-17,28
2018-12-18,33
2018-12-19,39
2018-12-20,23
2018-12-21,31
2018-12-22,33
2018-12-23,30
2018-12-24,30
2018-12-25,24
2018-12-26,24
2018-12-27,29
2018-12-28,38
2018-12-29,32
2018-12-30,34
2018-12-31,44
2019-01-01,35
2019-01-02,27
2019-01-03,22
2019-01-04,34
